concept_id,concept_name,domain_id,vocabulary_id,standard_concept
37167974,Cerebrovascular accident due to occlusion of anterior choroidal artery,Condition,SNOMED,standard
37169493,Cerebrovascular accident due to occlusion of left anterior choroidal artery,Condition,SNOMED,standard
37169663,Cerebrovascular accident due to occlusion of bilateral carotid arteries,Condition,SNOMED,standard
37170052,Cerebrovascular accident due to thrombosis of left anterior cerebral artery,Condition,SNOMED,standard
37170180,Cerebrovascular accident due to occlusion of right anterior choroidal artery,Condition,SNOMED,standard
37170768,Cerebrovascular accident due to thrombosis of bilateral posterior cerebral arteries,Condition,SNOMED,standard
37172241,Cerebrovascular accident due to thrombosis of bilateral cerebellar arteries,Condition,SNOMED,standard
37173015,Cerebrovascular accident due to thrombosis of bilateral carotid arteries,Condition,SNOMED,standard
37173188,Cerebrovascular accident due to thrombosis of bilateral vertebral arteries,Condition,SNOMED,standard
37174199,Fluency disorder due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
37174313,Cerebrovascular accident due to thrombosis of right anterior cerebral artery,Condition,SNOMED,standard
37209562,Cerebrovascular accident due to stenosis of bilateral carotid arteries,Condition,SNOMED,standard
37309657,Cerebrovascular accident due to stenosis of bilateral vertebral arteries,Condition,SNOMED,standard
37309665,Cerebrovascular accident due to occlusion of bilateral pontine arteries,Condition,SNOMED,standard
37312014,Cerebral ischemic stroke due to hypercoagulable state,Condition,SNOMED,standard
37312015,Cerebral ischemic stroke due to global hypoperfusion with watershed infarct,Condition,SNOMED,standard
37312016,Cerebral ischemic stroke due to aortic arch embolism,Condition,SNOMED,standard
37312017,Cerebral ischemic stroke due to dissection of artery,Condition,SNOMED,standard
37395574,Cerebrovascular accident due to right carotid artery occlusion,Condition,SNOMED,standard
37395575,Cerebrovascular accident due to right carotid artery stenosis,Condition,SNOMED,standard
37395576,Cerebrovascular accident due to left carotid artery stenosis,Condition,SNOMED,standard
40479572,Infarct of cerebrum due to iatrogenic cerebrovascular accident,Condition,SNOMED,non-standard
40480273,Superior cerebellar artery syndrome,Condition,SNOMED,standard
42535110,Cerebrovascular accident due to occlusion of right posterior cerebral artery,Condition,SNOMED,standard
42535111,Cerebrovascular accident due to occlusion of right middle cerebral artery,Condition,SNOMED,standard
42535112,Cerebrovascular accident due to occlusion of left middle cerebral artery,Condition,SNOMED,standard
42535113,Cerebrovascular accident due to thrombus of right middle cerebral artery,Condition,SNOMED,standard
42535114,Cerebrovascular accident due to thrombus of left middle cerebral artery,Condition,SNOMED,standard
42535146,Cerebrovascular accident due to occlusion of left pontine artery,Condition,SNOMED,standard
42535147,Cerebrovascular accident due to occlusion of right pontine artery,Condition,SNOMED,standard
42535148,Cerebrovascular accident due to occlusion of left cerebellar artery,Condition,SNOMED,standard
42535149,Cerebrovascular accident due to occlusion of right cerebellar artery,Condition,SNOMED,standard
42535232,Dysphasia due to and following cerebrovascular accident,Condition,SNOMED,standard
42535412,Dysarthria due to and following cerebrovascular accident,Condition,SNOMED,standard
42535457,Occlusion of left vertebral artery,Condition,SNOMED,standard
42535458,Cerebrovascular accident due to stenosis of right vertebral artery,Condition,SNOMED,standard
42535459,Cerebrovascular accident due to stenosis of left vertebral artery,Condition,SNOMED,standard
42535460,Cerebrovascular accident due to right vertebral artery occlusion,Condition,SNOMED,standard
42535461,Cerebrovascular accident due to occlusion of left vertebral artery,Condition,SNOMED,standard
42535465,Lacunar ataxic hemiparesis of right dominant side,Condition,SNOMED,standard
42535466,Lacunar ataxic hemiparesis of left dominant side,Condition,SNOMED,standard
42535503,Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus,Condition,SNOMED,standard
42535504,Cerebrovascular accident due to occlusion of left middle cerebral artery by embolus,Condition,SNOMED,standard
42535505,Cerebrovascular accident due to occlusion of right posterior cerebral artery by embolus,Condition,SNOMED,standard
42535506,Cerebrovascular accident due to occlusion of left posterior cerebral artery by embolus,Condition,SNOMED,standard
42535507,Cerebrovascular accident due to occlusion of right cerebellar artery by embolus,Condition,SNOMED,standard
42535508,Cerebrovascular accident due to occlusion of left cerebellar artery by embolus,Condition,SNOMED,standard
42535509,Occlusion of left middle cerebral artery,Condition,SNOMED,standard
42535510,Occlusion of left posterior cerebral artery,Condition,SNOMED,standard
42535511,Cerebrovascular accident due to thrombus of basilar artery,Condition,SNOMED,standard
42535512,Cerebrovascular accident due to thrombus of right carotid artery,Condition,SNOMED,standard
42535523,Lacunar ataxic hemiparesis of left nondominant side,Condition,SNOMED,standard
42535524,Lacunar ataxic hemiparesis of right nondominant side,Condition,SNOMED,standard
42535679,Dysphasia due to and following ischemic cerebrovascular accident,Condition,SNOMED,standard
42535681,Cognitive deficit due to and following ischemic cerebrovascular accident,Condition,SNOMED,standard
42535684,Vertigo as sequela of ischemic cerebrovascular accident,Condition,SNOMED,standard
42535707,Dysphasia due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
42535874,Thrombosis of left middle cerebral artery,Condition,SNOMED,standard
42536337,Occlusion of right pontine artery,Condition,SNOMED,standard
42536338,Occlusion of left pontine artery,Condition,SNOMED,standard
42538818,Occlusion of right middle cerebral artery by embolus,Condition,SNOMED,standard
42538819,Occlusion of left middle cerebral artery by embolus,Condition,SNOMED,standard
42538981,Occlusion of left posterior cerebral artery by embolus,Condition,SNOMED,standard
42538998,Thrombosis of right middle cerebral artery,Condition,SNOMED,standard
42539166,Cerebrovascular accident due to thrombus of left carotid artery,Condition,SNOMED,standard
42539195,Cerebrovascular accident due to occlusion of left posterior cerebral artery,Condition,SNOMED,standard
42539262,Cerebrovascular accident due to occlusion of left carotid artery,Condition,SNOMED,standard
42539276,Occlusion of right middle cerebral artery,Condition,SNOMED,standard
42539787,Occlusion of right posterior cerebral artery,Condition,SNOMED,standard
43530669,Ischemic stroke with coma,Condition,SNOMED,standard
43530670,Ischemic stroke without coma,Condition,SNOMED,standard
43530683,Cerebral infarction due to carotid artery occlusion,Condition,SNOMED,standard
43531605,Occlusion of cerebral artery with stroke,Condition,SNOMED,standard
43531607,Cerebral infarction due to stenosis of carotid artery,Condition,SNOMED,standard
44782551,Embolism of middle cerebral artery,Condition,SNOMED,standard
44782773,Cerebral infarction due to vertebral artery occlusion,Condition,SNOMED,standard
44784293,Postoperative thromboembolism of precerebral artery,Condition,SNOMED,standard
45767657,Thrombosis of middle cerebral artery,Condition,SNOMED,standard
45767658,Cerebral infarction due to thrombosis of middle cerebral artery,Condition,SNOMED,standard
45772786,Cerebral infarction due to embolism of middle cerebral artery,Condition,SNOMED,standard
46270031,Cerebral infarction due to occlusion of precerebral artery,Condition,SNOMED,standard
46270380,Cerebral infarction due to vertebral artery stenosis,Condition,SNOMED,standard
46270381,Cerebral infarction due to stenosis of precerebral artery,Condition,SNOMED,standard
46273649,Cerebral infarction due to occlusion of basilar artery,Condition,SNOMED,standard
